['btc' '202103302152' '11.0' '2.6' '120.0' '10.0'],['btc' '202103312241' '-29.0' '0.71' '-36.0' '-27.0'],['btc' '202104011601' '-2.0' '-0.02' '-2.0' '13.0'],['btc' '202104021832' '-26.0' '0.94' '-31.0' '-21.0'],['btc' '202104072013' '24.0' '-2.09' '14.0' '10.0']
['eth' '202103302152' '15.0' '1.71' '28.0' '23.0'],['eth' '202103312241' '-24.0' '0.57' '19.0' '-28.0'],['eth' '202104011601' '6.0' '5.27' '46.5' '8.0'],['eth' '202104021832' '9.0' '12.56' '15.0' '25.0'],['eth' '202104072013' '-16.0' '-4.95' '-24.0' '4.0']
['bnb' '202103301721' '-43.0' '11.27' '-81.0' '-75.0'],['bnb' '202103311812' '38.0' '0.91' '62.0' '164.0'],['bnb' '202104011601' '127.5' '6.61' '142.5' '134.0'],['bnb' '202104021832' '73.0' '13.04' '52.5' '-23.0'],['bnb' '202104072013' '7.0' '-5.29' '-43.0' '-44.0']
['xrp' '202103301721' '-33.0' '1.3' '8.0' '-37.0'],['xrp' '202103311812' '0.0' '-2.95' '7.0' '-11.0'],['xrp' '202104072013' '-41.0' '-5.92' '-46.0' '-35.0']
['ada' '202103302152' '36.0' '1.67' '160.0' '58.0'],['ada' '202103312241' '0.0' '-2.46' '-38.0' '32.0'],['ada' '202104011601' '0.0' '-2.46' '-26.0' '18.0'],['ada' '202104021832' '17.5' '2.52' '29.0' '-45.0']
['uni' '202103302152' '72.0' '-1.28' '76.0' '92.0'],['uni' '202103312241' '-32.0' '-2.1' '-40.0' '-30.0'],['uni' '202104011601' '-42.0' '2.02' '-30.0' '-42.0'],['uni' '202104021832' '19.0' '6.69' '72.0' '23.5'],['uni' '202104072013' '-35.0' '-6.99' '-64.0' '-42.0']
['fil' '202103302152' '25.0' '17.07' '50.0' '6.0'],['fil' '202103312241' '-10.0' '26.2' '-8.0' '0.0'],['fil' '202104011601' '-24.5' '79.72' '-47.0' '-53.5'],['fil' '202104021832' '80.0' '6.11' '87.5' '92.0'],['fil' '202104072013' '-25.0' '-14.18' '-22.0' '-31.0']
['sol' '202103302152' '-36.0' '4.75' '-20.0' '-38.0'],['sol' '202103312241' '71.0' '-0.66' '0.0' '125.0'],['sol' '202104011601' '-2.5' '-3.7' '-14.0' '-3.0'],['sol' '202104021832' '-43.0' '-0.08' '-28.0' '-60.0'],['sol' '202104072013' '-6.0' '3.73' '-30.0' '-3.0']
['cro' '202103302152' '233.0' '1.09' '156.0' '176.0'],['cro' '202103312241' '-40.0' '-2.0' '-48.0' '-38.0'],['cro' '202104011601' '-26.0' '-3.0' '-38.5' '-17.0'],['cro' '202104021832' '-48.0' '3.11' '27.0' '-34.0'],['cro' '202104072013' '-52.0' '-8.26' '-82.0' '-74.0']
['comp' '202103302152' '50.0' '1.6' '55.0' '51.0'],['comp' '202103312241' '-39.0' '-2.3' '-31.0' '-45.0'],['comp' '202104011601' '-11.0' '10.22' '17.0' '19.5'],['comp' '202104021832' '2.5' '20.06' '-20.5' '-6.0'],['comp' '202104072013' '-37.0' '-8.09' '-24.0' '-36.0']
['ust' '202103302152' '42.0' '0.09' '30.0' '64.0'],['ust' '202103312241' '-6.0' '-0.2' '5.0' '-4.0'],['ust' '202104011601' '8.0' '-0.1' '37.0' '26.5'],['ust' '202104021832' '6.5' '0.0' '-24.0' '-15.0'],['ust' '202104072013' '-23.0' '-0.3' '-6.0' '-18.0']
['ont' '202103302152' '31.0' '2.53' '55.0' '55.0'],['ont' '202103312241' '-19.0' '-2.47' '-24.0' '-26.0'],['ont' '202104011601' '12.5' '12.07' '21.5' '1.5'],['ont' '202104021832' '57.0' '10.13' '70.0' '69.0'],['ont' '202104072013' '-31.0' '-1.59' '-49.0' '-43.0']
['dent' '202103311548' '14.0' '-4.03' '38.0' '0.0'],['dent' '202104011601' '14.0' '-5.86' '54.0' '22.0'],['dent' '202104021748' '-8.33' '10.99' '-15.0' '35.33'],['dent' '202104072013' '-15.0' '-17.69' '-29.0' '-23.0']
['one' '202103302152' '49.0' '-3.13' '63.0' '53.0'],['one' '202103312241' '-9.0' '-4.32' '15.0' '3.0'],['one' '202104011601' '-16.0' '-6.25' '-7.5' '-4.5'],['one' '202104021832' '4.5' '-5.81' '-32.0' '-8.5'],['one' '202104072013' '-42.0' '-10.8' '-41.0' '-55.0']
['ren' '202103302152' '18.0' '0.0' '2.0' '-4.0'],['ren' '202103312241' '-18.0' '-2.78' '11.0' '16.0'],['ren' '202104011601' '-7.0' '-1.38' '20.0' '10.5'],['ren' '202104021832' '11.5' '9.71' '24.5' '-22.0'],['ren' '202104072013' '-26.0' '-9.91' '-42.0' '-43.0']
['win' '202103302152' '25.0' '8.11' '29.0' '29.0'],['win' '202103312241' '15.0' '21.5' '6.0' '-7.0'],['win' '202104011601' '39.5' '50.01' '35.0' '32.0'],['win' '202104021832' '-26.0' '17.88' '-15.0' '-20.5'],['win' '202104072013' '24.0' '-23.69' '20.0' '20.0']
['kin' '202103302152' '58.0' '-3.38' '75.0' '66.0'],['kin' '202103312241' '-13.0' '0.0' '0.0' '-4.0'],['kin' '202104011601' '-0.5' '26.55' '7.5' '-1.0'],['kin' '202104021832' '-34.0' '46.72' '-43.5' '-29.5'],['kin' '202104072013' '-36.0' '-14.99' '-52.0' '-37.0']
['rep' '202103302152' '36.0' '12.49' '40.0' '41.0'],['rep' '202103312241' '13.0' '-2.15' '11.0' '-4.0'],['rep' '202104011601' '0.0' '-8.7' '-22.0' '-2.0'],['rep' '202104021832' '24.0' '-0.17' '16.0' '10.0'],['rep' '202104072013' '-24.0' '-4.32' '-34.0' '-23.0']
['ant' '202103302152' '45.0' '25.83' '73.0' '12.0'],['ant' '202103312241' '-31.0' '-4.16' '-35.0' '-7.0'],['ant' '202104011601' '-21.5' '-11.44' '-37.0' '3.0'],['ant' '202104021832' '-37.0' '8.79' '-64.5' '-39.5'],['ant' '202104072013' '9.0' '-16.37' '26.0' '-11.0']
['fun' '202103302152' '13.0' '5.3' '20.0' '26.0'],['fun' '202103312241' '12.0' '-1.75' '7.0' '-14.0'],['fun' '202104011601' '5.5' '-1.7' '32.5' '-2.0'],['fun' '202104021832' '48.0' '1.08' '48.0' '43.5'],['fun' '202104072013' '-33.0' '-13.39' '-34.0' '-36.0']
['tel' '202103302152' '-25.0' '-4.12' '-32.0' '-46.0'],['tel' '202103312241' '0.0' '-0.62' '-46.0' '-10.0'],['tel' '202104011601' '-15.5' '10.71' '-16.0' '-10.5'],['tel' '202104021832' '5.0' '16.14' '-4.0' '13.0'],['tel' '202104072013' '0.0' '-4.72' '17.0' '30.0']
['bal' '202103302152' '7.0' '4.81' '12.0' '17.0'],['bal' '202103312241' '25.0' '-1.84' '52.0' '-6.0'],['bal' '202104011601' '51.0' '-1.69' '56.5' '17.0'],['bal' '202104021832' '-19.0' '5.47' '5.5' '-59.5'],['bal' '202104072013' '-54.0' '-12.65' '-60.0' '-51.0']
['trac' '202103302152' '25.0' '4.47' '8.0' '47.0'],['trac' '202103311812' '0.0' '-5.68' '-20.0' '-8.0'],['trac' '202104011601' '-14.0' '2.14' '-47.5' '-7.5'],['trac' '202104021832' '-6.5' '17.59' '26.0' '-30.5'],['trac' '202104072013' '-44.0' '-6.92' '-50.0' '-40.0']
['ark' '202103302152' '21.0' '31.22' '25.0' '39.0'],['ark' '202103312241' '-4.0' '3.45' '-18.0' '-25.0'],['ark' '202104011601' '-13.0' '-5.62' '-18.5' '-27.0'],['ark' '202104021832' '6.5' '-11.66' '18.5' '-14.0'],['ark' '202104072013' '-17.0' '-10.57' '-11.0' '-22.0']
['anc' '202103302152' '16.0' '0.63' '63.0' '42.0'],['anc' '202103312241' '-3.0' '-2.92' '-17.0' '-14.0'],['anc' '202104011601' '-3.0' '-5.32' '1.5' '12.0'],['anc' '202104021832' '-9.0' '-4.82' '-0.5' '-8.5'],['anc' '202104072013' '-13.0' '2.42' '-7.0' '-16.0']
['sys' '202103302152' '-38.0' '9.37' '-30.0' '-21.0'],['sys' '202103312241' '60.0' '-4.7' '37.0' '23.0'],['sys' '202104011601' '-2.5' '-14.71' '-6.5' '12.5'],['sys' '202104021832' '-33.0' '-9.23' '-72.0' '-19.0'],['sys' '202104072013' '-22.0' '2.22' '-29.0' '11.0']
['vid' '202103302152' '-13.0' '1.54' '-40.0' '-4.0'],['vid' '202103312241' '-15.0' '6.45' '0.0' '-33.0'],['vid' '202104011601' '-30.0' '-2.4' '-48.5' '-40.0'],['vid' '202104021832' '17.5' '-32.11' '102.5' '6.5'],['vid' '202104072013' '-53.0' '14.44' '-64.0' '-49.0']
['dia' '202103302152' '17.0' '4.2' '-13.0' '6.0'],['dia' '202103312241' '-43.0' '4.57' '-35.0' '-58.0'],['dia' '202104011601' '-24.5' '18.68' '-36.0' '-13.5'],['dia' '202104021832' '-7.0' '11.73' '-17.5' '57.0'],['dia' '202104072013' '-29.0' '-8.15' '-50.0' '-27.0']
['key' '202103302152' '-7.0' '-2.6' '8.0' '-51.0'],['key' '202103312241' '-14.0' '-3.39' '-8.0' '11.0'],['key' '202104011601' '-14.5' '-6.79' '0.0' '19.5'],['key' '202104021832' '-29.0' '-1.25' '11.5' '87.5'],['key' '202104072013' '-40.0' '-9.82' '-44.0' '4.0']
['ring' '202103302152' '14.0' '7.28' '12.0' '37.0'],['ring' '202103312241' '-31.0' '0.4' '-54.0' '-58.0'],['ring' '202104011601' '-9.5' '-7.85' '-56.0' '-51.5'],['ring' '202104021832' '5.5' '-7.35' '-4.0' '34.5'],['ring' '202104072013' '-25.0' '-14.37' '-34.0' '-9.0']
['loc' '202103302152' '33.0' '11.76' '10.0' '45.0'],['loc' '202103312241' '-15.0' '31.95' '-14.0' '7.0'],['loc' '202104011601' '14.0' '29.08' '-2.5' '5.0'],['loc' '202104021832' '-43.5' '-10.4' '-62.0' '-54.0'],['loc' '202104072013' '-42.0' '-13.79' '-38.0' '-42.0']
['ast' '202103302152' '93.0' '-3.81' '128.0' '46.0'],['ast' '202103312241' '-41.0' '-1.77' '-27.0' '-53.0'],['ast' '202104011601' '1.0' '-13.16' '40.0' '1.5'],['ast' '202104021832' '-46.0' '-7.89' '-38.5' '-51.5'],['ast' '202104072013' '7.0' '-13.49' '25.0' '7.0']
['tru' '202103302152' '0.0' '5.0' '13.0' '18.0'],['tru' '202103312241' '-40.0' '6.83' '-69.0' '-69.0'],['tru' '202104011601' '2.5' '4.83' '-16.5' '-38.5'],['tru' '202104021832' '52.0' '-7.55' '135.0' '21.5'],['tru' '202104072013' '-41.0' '-12.84' '-39.0' '-46.0']
['pro' '202103302152' '44.0' '-2.1' '52.0' '54.0'],['pro' '202103312241' '-28.0' '26.57' '-27.0' '-36.0'],['pro' '202104011601' '-23.5' '7.79' '-19.5' '-19.0'],['pro' '202104021832' '-2.5' '1.15' '-14.5' '15.0'],['pro' '202104072013' '-23.0' '-10.87' '-21.0' '-20.0']
['any' '202103302152' '30.0' '0.0' '100.0' '11.0'],['any' '202103312241' '-8.0' '-2.64' '-10.0' '-13.0'],['any' '202104011601' '-26.0' '-7.34' '-18.5' '-15.5'],['any' '202104021832' '-5.0' '-6.42' '-41.0' '-9.5'],['any' '202104072013' '15.0' '-10.04' '33.0' '9.0']
['sha' '202103302152' '-42.0' '-11.45' '-47.0' '-34.0'],['sha' '202103312241' '0.0' '-5.62' '-6.0' '8.0'],['sha' '202104011601' '-19.5' '8.17' '-50.0' '-36.5'],['sha' '202104021832' '-16.5' '43.48' '-60.0' '-39.5'],['sha' '202104072013' '-45.0' '-10.53' '-42.0' '-31.0']
['met' '202103302152' '-13.0' '0.72' '-30.0' '-29.0'],['met' '202103312241' '0.0' '5.71' '-6.0' '-38.0'],['met' '202104011601' '-38.5' '7.28' '-43.5' '-56.5'],['met' '202104021832' '11.0' '5.24' '20.0' '51.5'],['met' '202104072013' '-36.0' '0.0' '-33.0' '-27.0']
['ost' '202103302152' '38.0' '-0.24' '39.0' '85.0'],['ost' '202103312241' '-50.0' '4.9' '-54.0' '-58.0'],['ost' '202104011601' '10.0' '7.59' '22.0' '-2.5'],['ost' '202104021832' '57.0' '-3.35' '40.0' '-4.5'],['ost' '202104072013' '-28.0' '-13.69' '-10.0' '-39.0']
['pay' '202103302152' '400.0' '5.27' '900.0' '386.0'],['pay' '202103312241' '-38.0' '-9.53' '-23.0' '-10.0'],['pay' '202104011601' '-31.5' '-16.77' '-28.5' '-8.0'],['pay' '202104021832' '-67.5' '3.02' '-80.5' '-83.5'],['pay' '202104072013' '50.0' '-3.27' '200.0' '167.0']
['for' '202103302152' '12.0' '13.32' '9.0' '6.0'],['for' '202103312241' '-21.0' '6.98' '-17.0' '-21.0'],['for' '202104011601' '-16.0' '10.57' '-13.0' '-18.5'],['for' '202104021832' '-32.0' '-5.86' '-36.0' '-27.0'],['for' '202104072013' '-13.0' '-11.3' '-18.0' '-22.0']
['new' '202103302152' '40.0' '-0.75' '23.0' '55.0'],['new' '202103312241' '-29.0' '-3.32' '-38.0' '-33.0'],['new' '202104011601' '-33.5' '9.08' '-17.0' '-19.5'],['new' '202104021832' '-6.0' '28.44' '38.0' '-8.5'],['new' '202104072013' '12.0' '-13.72' '-2.0' '18.0']
['block' '202103302152' '33.0' '-3.85' '35.0' '41.0'],['block' '202103312241' '-7.0' '-4.27' '10.0' '39.0'],['block' '202104011601' '21.5' '-7.0' '20.0' '21.0'],['block' '202104021832' '-42.5' '-2.79' '-68.0' '-49.0'],['block' '202104072013' '-34.0' '-1.83' '-34.0' '-36.0']
['ach' '202104021748' '9.33' '-8.23' '46.33' '16.33'],['ach' '202104072013' '53.0' '-11.33' '34.0' '52.0']
['man' '202103302152' '10.0' '0.79' '23.0' '29.0'],['man' '202103312241' '13.0' '-0.46' '-15.0' '-20.0'],['man' '202104011601' '45.0' '-2.55' '38.0' '7.5'],['man' '202104021832' '43.0' '-9.55' '72.0' '45.5']
['act' '202103301721' '-39.0' '3.26' '-38.0' '-30.0'],['act' '202103312241' '-16.0' '15.41' '-16.0' '-8.0'],['act' '202104011601' '-6.0' '12.72' '-33.0' '1.0'],['act' '202104021832' '-13.5' '9.36' '-18.0' '-7.5'],['act' '202104072013' '-46.0' '-14.63' '-44.0' '-47.0']
['dot' '202103311812' '0.0' '8.01' '50.0' '-4.0'],['dot' '202104011601' '33.0' '12.02' '-50.0' '4.0'],['dot' '202104021832' '67.0' '8.18' '-17.0' '23.0'],['dot' '202104072013' '-18.0' '-8.87' '0.0' '-3.0']
['doge' '202103302152' '17.0' '0.59' '140.0' '72.0'],['doge' '202103311812' '0.0' '-3.25' '-12.0' '-18.0'],['doge' '202104011601' '133.0' '11.91' '100.0' '136.0'],['doge' '202104021832' '133.0' '10.42' '-14.0' '206.0']
['dai' '202103302152' '25.0' '0.0' '17.0' '55.0'],['dai' '202103312241' '-13.0' '0.0' '-10.0' '-26.0'],['dai' '202104011601' '39.5' '0.0' '35.0' '54.5'],['dai' '202104021832' '62.0' '0.0' '77.5' '113.5']
['wan' '202104021748' '5.67' '-9.57' '-46.33' '19.67'],['wan' '202104072013' '0.0' '-10.42' '29.0' '-41.0']
['ava' '202103301721' '-25.0' '12.09' '-38.0' '-62.0'],['ava' '202103312241' '-12.0' '5.2' '17.0' '-40.0'],['ava' '202104021543' '0.0' '11.75' '8.0' '6.0']
['data' '202103302152' '-25.0' '8.26' '0.0' '-29.0'],['data' '202103311548' '0.0' '8.7' '-29.0' '-26.0'],['data' '202104021543' '-25.0' '-1.46' '0.0' '35.0']
['lon' '202103302152' '145.0' '6.06' '218.0' '214.0'],['lon' '202103312241' '-56.0' '1.82' '-71.0' '-68.0'],['lon' '202104011601' '-40.0' '-1.71' '-64.0' '-45.0'],['lon' '202104021832' '-20.5' '-10.84' '-41.5' '-8.0']
['polk' '202103302152' '14.0' '-7.42' '-40.0' '12.0'],['polk' '202103311812' '-18.0' '-3.51' '67.0' '-16.0'],['polk' '202104011601' '-45.0' '7.57' '22.0' '-37.0'],['polk' '202104021832' '-15.5' '6.58' '-67.0' '-32.0'],['polk' '202104072013' '0.0' '-4.91' '83.0' '11.0']
['game' '202103302152' '6.0' '-3.15' '-9.0' '19.0'],['game' '202103312241' '-59.0' '-5.12' '-45.0' '-47.0'],['game' '202104011601' '-31.0' '-3.23' '-17.0' '-38.5'],['game' '202104021832' '46.5' '1.17' '54.0' '60.0']
['uma' '202103302152' '17.0' '1.35' '21.0' '26.0'],['uma' '202103312241' '-14.0' '3.58' '-18.0' '-21.0'],['uma' '202104011601' '0.0' '3.37' '0.0' '0.0'],['uma' '202104021832' '0.0' '4.78' '20.0' '-4.0']
['rly' '202103301721' '67.0' '-5.45' '125.0' '150.0'],['rly' '202103312241' '-45.0' '17.76' '-60.0' '-69.0']
['pai' '202103311548' '25.0' '2.8' '-15.0' '-20.0'],['pai' '202104011601' '0.0' '9.17' '-55.0' '-25.0'],['pai' '202104021543' '-21.0' '-1.62' '2.0' '3.0']
['ltc' '202103302152' '50.0' '1.32' '156.0' '0.0'],['ltc' '202103312241' '-17.0' '-1.59' '-43.0' '0.0'],['ltc' '202104011601' '0.0' '-0.35' '-26.0' '-14.0']
['trade' '202103302152' '-19.0' '5.56' '-28.0' '-20.0'],['trade' '202103312241' '-23.0' '-3.08' '17.0' '-45.0'],['trade' '202104011601' '-42.5' '-12.64' '-85.0' '-56.0'],['trade' '202104021543' '12.5' '-6.74' '234.5' '38.5']
['etc' '202103302152' '0.0' '5.3' '-23.0' '-26.0'],['etc' '202103312241' '33.0' '3.95' '-10.0' '21.0'],['etc' '202104011601' '7.0' '8.3' '41.5' '43.5']
['hot' '202103302152' '93.0' '-3.76' '45.0' '143.0'],['hot' '202103312241' '-67.0' '0.13' '-69.0' '-78.0'],['hot' '202104011601' '-63.0' '-5.78' '-25.5' '-61.5'],['hot' '202104021543' '-43.0' '-5.4' '-65.5' '-60.0']
['meme' '202103301721' '75.0' '3.74' '300.0' '126.0'],['meme' '202103312241' '-33.0' '-0.15' '-79.0' '-50.0']
