['btc' '202103302152' '-14.58' '-0.28' '-12.74' '-13.84'],['btc' '202103312241' '-21.07' '-0.44' '-21.6' '-21.67'],['btc' '202104011601' '-20.5' '-0.52' '-20.57' '-21.29'],['btc' '202104021832' '-23.58' '-0.61' '-23.67' '-27.0'],['btc' '202104061805' '-25.6' '-2.75' '-28.8' '-40.4'],['btc' '202104072213' '-18.33' '-3.17' '-28.33' '-35.33']
['eth' '202103302152' '-2.84' '2.43' '9.53' '2.16'],['eth' '202103312241' '-2.6' '3.04' '10.4' '4.87'],['eth' '202104011601' '-1.07' '3.21' '9.79' '7.21'],['eth' '202104021832' '-2.25' '2.87' '3.67' '7.08'],['eth' '202104061805' '-20.2' '-4.64' '-22.6' '-6.4'],['eth' '202104072213' '-23.33' '-6.34' '-32.0' '-12.0']
['uni' '202103302152' '-10.79' '-0.5' '-5.42' '-4.21'],['uni' '202103312241' '-11.47' '-0.07' '-3.8' '-5.2'],['uni' '202104011601' '-10.0' '0.07' '-1.21' '-3.43'],['uni' '202104021832' '-4.67' '-0.25' '3.58' '3.0'],['uni' '202104061805' '-22.0' '-5.52' '-41.6' '-25.8'],['uni' '202104072213' '-17.67' '-8.5' '-42.67' '-25.0']
['link' '202104072213' '4.67' '-8.27' '-16.67' '-17.33']
['sol' '202103302152' '-10.16' '1.06' '-1.47' '-2.16'],['sol' '202103312241' '-15.8' '1.4' '-12.6' '-16.2'],['sol' '202104011601' '-22.0' '1.54' '-13.5' '-26.29'],['sol' '202104021832' '-25.25' '2.42' '-13.42' '-30.17'],['sol' '202104061805' '-20.2' '7.48' '-33.8' '-12.4'],['sol' '202104072213' '-28.67' '6.37' '-34.67' '-26.67']
['cro' '202103302152' '-17.05' '-2.73' '-17.32' '-22.37'],['cro' '202103312241' '-35.07' '-2.67' '-26.73' '-38.73'],['cro' '202104011601' '-34.71' '-2.71' '-25.21' '-38.79'],['cro' '202104021832' '-36.17' '-2.67' '-23.0' '-42.42'],['cro' '202104061805' '-25.6' '-8.2' '-49.4' '-41.8'],['cro' '202104072213' '-41.0' '-9.83' '-72.67' '-54.33']
['dai' '202103302152' '9.56' '0.0' '11.39' '35.22'],['dai' '202103312241' '13.93' '0.0' '17.0' '46.64'],['dai' '202104011601' '16.0' '0.0' '19.08' '52.23'],['dai' '202104021832' '11.73' '0.0' '16.18' '51.82'],['dai' '202104061805' '-11.25' '0.0' '-18.75' '-6.0'],['dai' '202104072213' '-16.5' '0.0' '-35.5' '5.0']
['comp' '202103302152' '-7.58' '3.94' '-3.37' '-9.58'],['comp' '202103312241' '-10.0' '5.49' '-9.93' '-12.2'],['comp' '202104011601' '-7.93' '6.04' '-8.43' '-9.86'],['comp' '202104021832' '-7.42' '5.35' '-12.67' '-14.75'],['comp' '202104061805' '-15.6' '-5.38' '7.4' '-13.6'],['comp' '202104072213' '-26.33' '-7.29' '7.33' '-18.67']
['ust' '202103302152' '3.26' '-0.11' '0.11' '5.68'],['ust' '202103312241' '-2.87' '-0.12' '-10.67' '-5.8'],['ust' '202104011601' '-2.64' '-0.12' '-11.79' '-5.93'],['ust' '202104021832' '-4.42' '-0.12' '-19.92' '-11.33'],['ust' '202104061805' '-14.6' '-0.32' '-17.2' '-13.4'],['ust' '202104072213' '-15.67' '-0.43' '-13.0' '-20.33']
['ont' '202103302152' '3.68' '2.32' '3.37' '3.42'],['ont' '202103312241' '8.33' '3.31' '6.07' '7.87'],['ont' '202104011601' '10.29' '3.72' '8.21' '10.29'],['ont' '202104021832' '9.92' '2.32' '6.0' '11.75'],['ont' '202104061805' '-9.4' '-2.56' '-21.6' '-14.6'],['ont' '202104072213' '-13.0' '-4.66' '-21.0' '-17.0']
['one' '202103302152' '-8.74' '-5.18' '-15.47' '-9.68'],['one' '202103312241' '-13.0' '-5.48' '-23.67' '-17.67'],['one' '202104011601' '-13.29' '-5.56' '-26.43' '-19.14'],['one' '202104021832' '-12.83' '-5.45' '-29.58' '-21.58'],['one' '202104061805' '-24.0' '-5.85' '-23.2' '-30.8'],['one' '202104072213' '-35.0' '0.16' '-34.67' '-46.0']
['ren' '202103302152' '-7.95' '-1.23' '-4.26' '-12.58'],['ren' '202103312241' '-9.4' '-0.45' '-6.13' '-16.07'],['ren' '202104011601' '-8.79' '-0.29' '-7.36' '-18.36'],['ren' '202104021832' '-9.08' '-0.1' '-11.92' '-23.17'],['ren' '202104061805' '-25.6' '-8.6' '-31.6' '-26.2'],['ren' '202104072213' '-22.67' '-10.73' '-32.67' '-17.67']
['win' '202103302152' '2.95' '22.37' '7.68' '-0.47'],['win' '202103312241' '-0.93' '24.04' '2.4' '-2.33'],['win' '202104011601' '-2.07' '24.23' '2.14' '-2.0'],['win' '202104021832' '-9.0' '19.93' '-3.33' '-7.67'],['win' '202104061805' '6.2' '31.42' '-4.4' '4.6'],['win' '202104072213' '7.33' '-26.42' '-24.0' '1.67']
['kin' '202103302152' '-12.68' '14.16' '-15.16' '-9.16'],['kin' '202103312241' '-21.8' '18.52' '-26.93' '-20.6'],['kin' '202104011601' '-22.43' '19.85' '-28.86' '-21.79'],['kin' '202104021832' '-26.08' '18.73' '-34.92' '-25.25'],['kin' '202104061805' '-14.4' '-7.5' '-19.0' '-15.2'],['kin' '202104072213' '-24.33' '-19.56' '-54.33' '-34.0']
['ant' '202103302152' '-18.16' '1.11' '-25.63' '-13.37'],['ant' '202103312241' '-23.33' '0.6' '-35.6' '-18.8'],['ant' '202104011601' '-22.79' '0.94' '-35.64' '-19.64'],['ant' '202104021832' '-23.0' '3.01' '-35.42' '-23.42'],['ant' '202104061805' '-9.0' '-10.02' '-1.2' '-14.4'],['ant' '202104072213' '-7.67' '-15.36' '-8.0' '-12.33']
