['btc' '202104062027' '17.18' '-1.04' '24.24' '20.77'],['btc' '202104072315' '19.81' '-0.99' '27.05' '24.64'],['btc' '202104082246' '42.1' '0.01' '64.13' '61.39'],['btc' '202104091925' '136.83' '3.84' '104.33' '122.0']
['eth' '202104062027' '-4.14' '-1.32' '-7.78' '-8.57'],['eth' '202104072315' '-4.82' '-1.42' '-9.51' '-10.2'],['eth' '202104082246' '14.69' '0.43' '17.72' '8.72'],['eth' '202104091925' '134.14' '5.17' '165.43' '149.86']
['bnb' '202104062027' '-6.72' '0.61' '-7.56' '8.04'],['bnb' '202104072213' '-1.86' '-1.33' '-4.09' '13.36'],['bnb' '202104081840' '-2.5' '2.06' '25.08' '66.08'],['bnb' '202104091925' '58.0' '18.46' '214.0' '61.0']
['dot' '202104062027' '-10.52' '-2.5' '-15.56' '-16.28'],['dot' '202104072315' '-14.0' '-4.0' '-20.0' '-19.86'],['dot' '202104081840' '-6.92' '-0.13' '-16.0' '-23.69'],['dot' '202104091925' '27.0' '5.03' '191.5' '26.5']
['uni' '202104062027' '-5.44' '-2.33' '2.87' '-0.27'],['uni' '202104072315' '-5.72' '-2.66' '3.1' '-0.28'],['uni' '202104082246' '3.68' '-0.38' '34.55' '17.74'],['uni' '202104091925' '7.83' '5.86' '7.33' '-3.5']
['fil' '202104062027' '1.78' '-9.4' '40.22' '-7.0'],['fil' '202104072013' '11.0' '-14.46' '6.17' '0.33']
['sol' '202104062027' '-24.49' '6.74' '-24.71' '-29.33'],['sol' '202104072315' '-28.19' '6.17' '-26.11' '-37.15'],['sol' '202104082145' '-26.85' '5.93' '-24.58' '-43.15'],['sol' '202104091925' '-22.75' '7.98' '18.0' '-39.25']
['cro' '202104062027' '-15.71' '-3.11' '-6.51' '-14.78'],['cro' '202104072315' '-18.96' '-3.07' '-9.89' '-17.15'],['cro' '202104082145' '-6.42' '0.04' '19.04' '4.62'],['cro' '202104091925' '26.0' '13.51' '58.0' '28.0']
['cake' '202104091925' '6.5' '30.12' '-3.0' '-44.5']
['dai' '202104062027' '-7.57' '0.0' '-2.78' '-4.33'],['dai' '202104072315' '-7.52' '0.0' '-2.62' '-2.55'],['dai' '202104082145' '19.89' '0.0' '36.83' '34.39'],['dai' '202104091925' '111.5' '0.0' '139.75' '163.25']
['comp' '202104062027' '-21.35' '-0.48' '-8.34' '-21.46'],['comp' '202104072315' '-23.64' '-0.57' '-10.07' '-23.11'],['comp' '202104082246' '-8.86' '0.96' '-6.75' '-18.25'],['comp' '202104091925' '26.67' '0.96' '32.17' '12.0']
['ust' '202104062027' '-18.34' '-0.19' '-19.45' '-28.61'],['ust' '202104072315' '-20.07' '-0.2' '-20.22' '-31.84'],['ust' '202104082246' '-6.82' '-0.11' '-9.47' '-22.38'],['ust' '202104091925' '79.86' '-0.1' '54.86' '45.43']
['ont' '202104062027' '-16.09' '-2.62' '-13.72' '-16.98'],['ont' '202104072315' '-18.3' '-3.08' '-15.19' '-19.0'],['ont' '202104082145' '-4.44' '-0.74' '10.52' '0.15'],['ont' '202104091925' '48.6' '16.67' '125.0' '90.6']
['one' '202104062027' '-11.8' '7.76' '1.22' '-14.2'],['one' '202104072315' '-12.2' '9.14' '1.68' '-15.06'],['one' '202104082246' '16.41' '9.28' '40.62' '17.91'],['one' '202104091925' '140.14' '5.79' '269.29' '160.86']
